Gene1,Gene2,Label
Zfp873,Atad2b,WT_specific
Rspry1,Morn1,WT_specific
Gm31255,Gm14438,WT_specific
Lingo2,Fan1,AD_specific
Plscr3,N4bp2l2,AD_specific
Grik3,Cxxc4,WT_specific
Grin3a,Btbd9,WT_specific
Rgs6,Dsg1b,WT_specific
Negr1,Cldn34c2,WT_specific
Xpnpep1,Cmah,WT_specific
St6galnac3,Ccdc3,AD_specific
Kazn,Dlg1,AD_specific
Usp3,Gcnt7,WT_specific
Dmtn,4833439L19Rik,WT_specific
Stx18,Gpr174,Shared
Mylk4,Alg14,AD_specific
Zfp964,Gm52229,WT_specific
Usp3,Itga2b,AD_specific
Ssbp2,Gm10015,AD_specific
Rab33a,Bicral,AD_specific
Zbtb25,Cybrd1,AD_specific
Trpv3,Akap6,WT_specific
Tlr7,Adtrp,AD_specific
Ctbp2,Cadm1,WT_specific
Dok5,Atrn,WT_specific
Intu,Gtdc1,WT_specific
Nfix,Maml2,AD_specific
Zfp939,Vwa5b1,AD_specific
Gmfb,Dhrs3,AD_specific
Rdh1,Alpk1,Shared
Kcnip4,Kcnd2,Shared
Slc32a1,Kirrel3,WT_specific
Kirrel3,Bnc2,WT_specific
Npr3,Ndst1,WT_specific
Usp17la,Susd1,WT_specific
Zfp780b,Ldlrad4,WT_specific
Tmem241,Tacc1,AD_specific
Pld5,Gm10224,WT_specific
Il2ra,Gcm1,AD_specific
Slx1b,Cep63,AD_specific
Pou1f1,Atad2b,WT_specific
Tmco1,Bpifc,WT_specific
Zfp771,Ppfia2,AD_specific
Fbxl17,Btbd16,Shared
Zfp697,Gimap1,WT_specific
Tex38,Septin11,AD_specific
Zfp977,Gm17768,Shared
Kcnj15,Dhrs3,Shared
Tmem106c,Cxcr2,WT_specific
Gjc3,Crip3,Shared
Usp3,Ankrd10,AD_specific
Nacc2,Mxra7,WT_specific
Prlhr,Ppcdc,AD_specific
Wdr31,Kcnh6,WT_specific
Pi15,Ms4a12,Shared
Psmc3ip,Mbd4,AD_specific
St8sia4,Kirrel,WT_specific
Psg16,Nfu1,AD_specific
Zfp846,Cep63,AD_specific
Kif5b,Hhex,WT_specific
Evi5,Cryzl2,AD_specific
Usp4,Cast,WT_specific
Iqsec1,Anxa9,AD_specific
Zfp996,Pou1f1,AD_specific
Zfp85,Ppfia2,AD_specific
Rapgef2,Parp6,WT_specific
Btbd9,Abhd6,WT_specific
Tfg,Paox,WT_specific
Zfp202,Snw1,WT_specific
LOC118568705,LOC118568432,WT_specific
Wdr20,Wbp1l,WT_specific
Pou2f1,LOC115489417,Shared
Rtp3,Pou2f1,WT_specific
Nbea,Gm14326,WT_specific
Nup210,Nsun7,WT_specific
Plcb4,Aipl1,WT_specific
Itgb1bp2,AU022252,Shared
Zfp385b,Pmvk,AD_specific
Crppa,Arhgap39,WT_specific
Slc35e2,Gm14393,AD_specific
Rimklb,Bri3bp,WT_specific
Robo1,9330159F19Rik,WT_specific
Lgals4,4931406B18Rik,WT_specific
Psg16,Gm7609,WT_specific
Klf12,Casc1,AD_specific
Ppih,Gpr75,WT_specific
Strbp,Cers6,AD_specific
Etv1,Atf7ip,Shared
Paox,Hsph1,WT_specific
Zbtb16,Hcfc2,WT_specific
Zfp660,Wipf2,WT_specific
Hdac8,Atad2,WT_specific
Prkcz,Nwd2,WT_specific
Rnf168,Gm32234,WT_specific
Ogdh,Gm42372,WT_specific
Tspan15,Bend3,WT_specific
Pclo,C330007P06Rik,WT_specific
Gm4841,Gabrg1,Shared
Zfp369,Fgf14,Shared
LOC115489417,Iars2,WT_specific
Zfp407,Drg1,WT_specific
St3gal4,Hectd4,AD_specific
Npas4,Mbd4,AD_specific
Grm4,Cbl,WT_specific
Foxp1,Ankrd44,WT_specific
Tmem106c,Knl1,WT_specific
Gna11,Exoc8,WT_specific
Dtwd2,Ankrd10,WT_specific
Zwint,Strbp,WT_specific
Tyms,Nvl,Shared
Ppp1r9a,Colec12,Shared
Trmt61a,Hspb7,AD_specific
Tshz3,Man2a2,Shared
Rnf125,Dgkh,AD_specific
Khdrbs2,Cxcr2,Shared
Wdr46,Qk,WT_specific
Galntl6,Exosc7,AD_specific
Tfg,Larp4b,WT_specific
Stac,Ppp4r1,WT_specific
Gm4841,Cyrib,Shared
Proca1,Lpp,AD_specific
Gm51691,AB124611,WT_specific
Stx8,Deaf1,WT_specific
Slc18b1,Commd10,WT_specific
Mtmr9,Dhrs3,AD_specific
Rdh1,Evi5,Shared
Rbm12b1,Hexdc,WT_specific
Opcml,Bicra,WT_specific
Mbnl3,Gcdh,WT_specific
Slc43a2,Dkk1,AD_specific
Ints2,Exd2,WT_specific
Ndst1,Frmd4a,AD_specific
Osbpl6,Npr3,AD_specific
Tomm7,Ap5z1,WT_specific
Sntb1,Kirrel3,WT_specific
Zbtb20,Tulp3,AD_specific
Ccdc15,3300002I08Rik,AD_specific
Rnf169,Paqr3,Shared
Senp7,Gjc3,AD_specific
Spag1,Gm33153,WT_specific
Zfp385b,Cdh7,WT_specific
Luc7l2,Gabpb2,AD_specific
Polr3gl,Bcl11b,AD_specific
Nav3,Gm52817,WT_specific
Terf2ip,Ppm1h,Shared
Tfeb,Ncbp3,AD_specific
Maco1,Htr1d,AD_specific
Tlcd5,Rabgap1l,WT_specific
Sil1,Ppm1h,WT_specific
LOC115489981,Golm2,WT_specific
Clec16a,B4galt7,WT_specific
Klhl32,Ing5,WT_specific
Lnx1,Grk4,Shared
Lrrtm3,Elp4,WT_specific
Gm41607,Fgf14,Shared
Slf2,Dvl3,WT_specific
Rufy3,Cdk17,WT_specific
Nmrk1,Arih2,WT_specific
Rhbdd1,Adal,AD_specific
Trip4,Otud7b,AD_specific
Zfp687,Gm10277,AD_specific
Inpp1,Ermard,AD_specific
Usp4,3300002I08Rik,WT_specific
St8sia1,Rgs6,WT_specific
LOC115489981,Abcd4,AD_specific
Klhl41,Ckap5,Shared
Rpl29,Negr1,WT_specific
Pde7a,Pde4d,WT_specific
Zfp558,Cnnm2,AD_specific
Ncbp3,Cyb561a3,AD_specific
Rttn,2210408I21Rik,Shared
Nkx2-1,Gm33532,Shared
Klhl33,Gprin3,WT_specific
Sec22c,Gmfb,WT_specific
Zfp65,Hmgcll1,Shared
Cyp4x1,Crppa,AD_specific
Samd14,Ripk1,WT_specific
Zfp950,Abcb8,AD_specific
Nrros,Cacna2d1,Shared
Zfyve9,Tnks2,Shared
Mettl6,Kcnj6,AD_specific
Tbxas1,Ssbp2,AD_specific
Tia1,Itgb1bp2,AD_specific
Gjc3,Agbl3,AD_specific
Ino80,Bicral,Shared
Trim9,Tnfrsf14,WT_specific
E2f5,Chpt1,WT_specific
Wnt4,Syt11,Shared
Zfp369,Slc35d1,WT_specific
Slc25a30,Pcdh9,WT_specific
LOC118568783,Dtwd2,AD_specific
Mrpl19,Kcnip4,WT_specific
Ntrk3,Cpsf2,AD_specific
Hectd2,Gpt2,WT_specific
Fbxo16,Def8,AD_specific
Tuba1b,Cacng4,WT_specific
Nfia,Csmd3,WT_specific
Ldlrad1,Klhl21,WT_specific
Rufy3,Otud7a,WT_specific
Stat5b,Gatad2b,WT_specific
Tcp11l1,Art5,AD_specific
St8sia4,LOC115489417,Shared
Pld5,Kdsr,AD_specific
Tbc1d13,Nfat5,WT_specific
Dhrs7b,Ap4s1,WT_specific
Tmem63c,Grm1,WT_specific
Syne1,Mrpl9,WT_specific
Zdhhc21,Hdac8,Shared
Ube3a,Smyd3,Shared
Dnase1l3,Col8a1,WT_specific
Stxbp4,Il2ra,WT_specific
Tnrc18,Tfg,AD_specific
Apol6,Ankrd55,AD_specific
Mcm9,Elovl2,AD_specific
Nrg3,Myl4,WT_specific
Kirrel3,Cradd,WT_specific
Syne1,Apol7b,WT_specific
Stxbp5l,LOC118568255,AD_specific
St3gal4,Msantd2,WT_specific
Tmem82,Ncl,AD_specific
Vmn1r165,Vmn1r148,WT_specific
Ttc26,Bicral,AD_specific
Fblim1,Ctcfl,AD_specific
Arhgap39,Arhgap26,WT_specific
Zfp948,Zfp729a,WT_specific
Kcnj5,Glrx2,WT_specific
LOC118568705,Gm46911,AD_specific
Zfp626,4930512M02Rik,WT_specific
Igsf11,Dennd2c,WT_specific
Ssbp2,LOC118568593,Shared
Mcmdc2,3300002I08Rik,Shared
Mrpl4,Azin1,Shared
Tstd2,Lhcgr,WT_specific
Tlr7,Hsd3b5,WT_specific
Zdhhc2,Pag1,AD_specific
Kif24,Abcb8,AD_specific
Nhlh2,Hip1,WT_specific
Ppargc1a,Ebf1,WT_specific
Ppp4r1,Lix1,WT_specific
Mettl8,Ap1s3,AD_specific
Wdr27,Lrrc71,WT_specific
Zfp937,Reep3,WT_specific
Gm5796,Gm10406,WT_specific
Prnp,Kcnh6,Shared
Tox3,Rngtt,Shared
Nol10,Lrrc58,WT_specific
Tox3,LOC624931,Shared
