SPC25,SHISA9,shared
ZKSCAN3,C12orf50,shared
ZNF66,KIAA1324L,shared
SP100,CFLAR,shared
SIRT5,ODF2L,shared
ZNF66,BCAS3,shared
TOR1AIP2,TCTN1,shared
SHISA9,RIC3,shared
SLC16A7,L2HGDH,shared
ELMOD2,DTNB,shared
LPP,GLIPR1L2,shared
SLC9A4,ORC4,shared
XAF1,TMEM212,shared
SHISA9,ELMOD2,shared
PARP15,FRK,shared
TRMT9B,CCDC122,shared
TYW5,LPP,shared
RIC3,NEK11,shared
PARP15,KLHL33,shared
SETMAR,PGM3,shared
SP100,ORC4,shared
SLC38A1,RDH16,shared
TP63,CES3,shared
USF3,MCFD2,shared
SPAG16,CFLAR,shared
RIC3,ABCC9,shared
TDRKH,BBS5,shared
RIC3,ASTN2,shared
ZNF493,LPP,shared
ZDHHC21,MAB21L3,shared
TRMT9B,ELMOD2,shared
ODF2L,CPLANE1,shared
ZNF80,CES3,shared
FGF5,DTNB,shared
ZNF621,TIGD1,shared
NXNL2,GSTO2,shared
LACC1,CFLAR,shared
UGT8,SHISA9,shared
XAF1,LACC1,shared
XKR9,ORC4,shared
TRMT9B,ORC4,shared
SIGLEC10,ANKLE1,shared
ZNF493,SLC16A7,shared
UGT8,PARP15,shared
SLC16A7,C12orf50,shared
KLRD1,CFLAR,shared
PLEKHA5,FER,shared
CD70,ABCC9,shared
FNIP2,FGF5,shared
WDPCP,KLRD1,shared
ZKSCAN3,L2HGDH,shared
KLRD1,FNIP2,shared
ODF2L,ELMOD2,shared
GOSR1,AIMP1,shared
ZDHHC21,CFLAR,shared
SNX19,PARP15,shared
LPP,CCDC122,shared
ZNF493,SHISA9,shared
ODF2L,CD70,shared
TRMT9B,HS6ST3,shared
TRMT9B,FNIP2,shared
PARP15,FAS,shared
TMEM212,SPAG16,shared
ORC4,ELMOD2,shared
TOR1AIP2,DTNB,shared
KLHL33,ENOX1,shared
LOC100130451,ACADSB,shared
ZKSCAN3,SHISA9,shared
TMEM212,OPHN1,shared
STXBP5L,ASTN2,shared
MRGPRX3,BBS5,shared
XKR9,SHISA9,shared
ZNF519,C5orf22,shared
ZNF66,MAB21L3,shared
NTRK3,CFLAR,shared
TOR1AIP2,ABCC9,shared
ZKSCAN3,CD70,shared
ZNF519,ACADSB,shared
TOR1AIP2,FRK,shared
ORC4,LACC1,shared
SLC9A4,SLC16A7,shared
SPC25,FNIP2,shared
KLRD1,GLIPR1L2,shared
MRGPRX3,CFLAR,shared
SPC25,DTNB,shared
SIGLEC10,SCML4,shared
SLC16A7,OPHN1,shared
TMEM212,ELMOD2,shared
MCFD2,KATNAL2,shared
SIRT5,ENOX1,shared
ZNF471,ZFAT,shared
TOR1AIP2,ABCA9,shared
MAB21L3,CFLAR,shared
ZNF66,F5,shared
SYN3,PRELP,shared
ENTPD1,C5orf22,shared
SIRT5,CFLAR,shared
FRA10AC1,ENTPD1,shared
XAF1,ANXA7,shared
SLC37A2,INPP5A,shared
NEK5,GOSR1,shared
UGT8,TMEM212,shared
PARP15,GSG1,shared
P2RY10,NFX1,shared
KLRD1,FRK,shared
ZNF66,IQCB1,shared
PUS7L,CCDC144A,shared
TRMT9B,OPHN1,shared
WDPCP,FNIP2,shared
XRCC2,TMEM212,shared
SLC37A2,CHM,shared
OPHN1,DTNB,shared
ENOX1,CCDC144A,shared
PHYHIPL,CTSC,shared
GLIPR1L2,FNIP2,shared
L2HGDH,C12orf50,shared
ZKSCAN3,SPC25,shared
ZSCAN20,MCFD2,shared
LINS1,CTSC,shared
TBC1D32,FAM172A,shared
TRMT2B,ATXN3,shared
HTRA4,CFLAR,shared
GLIPR1L2,CFLAR,shared
FER,CFLAR,shared
NEK11,ABCC9,shared
UBE2E2,PARP15,shared
ZNF80,SLC37A2,shared
LPP,FRK,shared
ZNF471,SLC38A1,shared
TMEM212,EPPIN,shared
PRKAG2,IKZF3,shared
SPC25,ORC4,shared
ZKSCAN3,FNIP2,shared
FBLN1,CENPK,shared
LOC100652901,CHRM3,shared
USP33,FAAH2,shared
CES3,ABCC1,shared
ZNF519,USF3,shared
GSG1,FNIP2,shared
PARP15,GPR141,shared
PRPF18,CFLAR,shared
XKR9,ENOX1,shared
MCFD2,C5orf22,shared
TCTN1,DNAH12,shared
NFX1,FER,shared
TFDP2,EPB41,shared
FAM86B1,EEF2KMT,shared
UBE2E2,ODF2L,shared
LPP,FAS,shared
ZNF37A,FLRT2,shared
KCNAB1,FER,shared
KLRD1,DTNB,shared
ORC4,DNAH12,shared
GSTO2,ASPH,shared
SLC37A2,PTPRN2,shared
ZNF471,RDH16,shared
SLC9A4,SHISA9,shared
TMEM212,CD70,shared
TMEM212,CPLANE1,shared
FNIP2,ELMOD2,shared
FRK,CFLAR,shared
SHISA9,KLHL33,shared
TSKU,ACADSB,shared
ODF2L,C2orf91,shared
ZNF471,PPP1R3F,shared
PARP15,NEK11,shared
TRMT9B,SPC25,shared
OPHN1,L2HGDH,shared
MCFD2,FRA10AC1,shared
CHM,CES3,shared
FNIP2,EPPIN,shared
SYN3,LRRK1,shared
SLC37A2,GBP5,shared
UGT8,ORC4,shared
BBS5,AIMP1,shared
ORC4,F5,shared
GATD1,ABI2,iPRINT_B
ZKSCAN3,FGF5,shared
SPC25,C12orf50,shared
CPLANE1,CCDC144A,shared
KLRD1,ABCA9,shared
ZNF283,LPP,shared
ODF2L,GSG1,shared
TFDP2,RBMS2,shared
PARP15,OPHN1,shared
OBSCN,LOC101927401,shared
KLRD1,ABCC9,shared
NEK11,CTSC,shared
ZNF66,ALG1L,shared
XRCC2,ODF2L,shared
SNCA,ABCC9,shared
FGF5,C12orf50,shared
SYN3,DNAAF4,shared
KLRD1,GATAD1,shared
TSKU,LOC100130451,shared
FGF5,CFLAR,shared
XKR9,C12orf50,shared
L2HGDH,FGF5,shared
ZNF37A,SLC22A25,shared
RIC3,PARP15,shared
UBE2E2,LPP,shared
ELMOD2,CFLAR,shared
TOR1AIP2,SHISA9,shared
SNX19,LPP,shared
FRK,ABCC9,shared
MRGPRX3,GOSR1,shared
PHYHIPL,LINS1,shared
TOR1AIP2,CD70,shared
TMEM212,SIRT5,shared
TCTN1,EPPIN,shared
WDPCP,DTNB,shared
ZNF519,LOC100130451,shared
VWA8,MAB21L3,shared
TMEM212,FGF5,shared
ZNF140,SCML4,shared
SLC38A1,ESR1,shared
WDPCP,TCTN1,shared
SPC25,ENOX1,shared
L2HGDH,DTNB,shared
OR1F1,ADI1,shared
CLEC2D,CDC14C,shared
USF3,ENTPD1,shared
ZNF471,C10orf143,shared
SLC38A1,LOC100652901,shared
LEPR,GOSR1,shared
ORC4,CPLANE1,shared
ZSCAN5A,MCFD2,shared
LPP,ABCA9,shared
ZKSCAN3,ELMOD2,shared
SLC16A7,FGF5,shared
ZNF528,CEP57L1,iPRINT_A
SCD5,ORC4,iPRINT_C
ORC4,NRXN1,shared
GLIPR1L2,ABCC9,shared
MCFD2,ATRNL1,shared
GLIPR1L2,DTNB,shared
PLEKHA5,NFX1,shared
ZNF493,XKR9,shared
OPHN1,ODF2L,shared
SHISA9,KLRD1,shared
ZNF493,C12orf50,shared
GSTO2,FLRT2,shared
TESPA1,SYN3,shared
ZNF780A,MERTK,shared
ODF2L,LACC1,shared
OPHN1,FNIP2,shared
OPHN1,C12orf50,shared
TRMT2B,PBRM1,iPRINT_A
KCNAB1,CFLAR,shared
EPPIN,CCDC144A,shared
XAF1,ENOX1,iPRINT_A
SUPT20HL2,ORC4,shared
METTL8,ANKLE1,shared
XKR9,SLC16A7,shared
ZNF407,CFLAR,shared
ZNF589,PTPRN2,shared
TRMT9B,ENOX1,shared
PDE12,LPP,shared
XKR9,DTNB,shared
SLCO1A2,LOC100652901,shared
SHISA9,CD70,shared
HYAL1,AIMP1,shared
TIGD1,COA1,shared
LOC107984203,CFLAR,shared
SLC35A3,ENTPD1,shared
TM7SF3,EPB41,shared
MRGPRX3,HYAL1,shared
GALNT18,CFLAR,shared
SLC16A7,ELMOD2,shared
ZNF471,LPXN,shared
ZNF493,OPHN1,shared
SLC38A1,LPAR6,shared
SMG1,GREB1,shared
SHISA9,NEK11,shared
WDPCP,GPR141,shared
TSPAN6,ODF2L,shared
ZNF480,XAF1,shared
PRKAR1A,CHRM3,shared
KLRD1,GPR141,shared
STK4,CARD8,shared
WDPCP,ABCC9,shared
LPP,GPR141,shared
TRMT9B,ATRN,shared
CCDC122,C12orf50,shared
TCTN1,ABCA9,shared
ODF2L,GATAD1,shared
ZKSCAN3,TMEM212,shared
KATNAL2,ENTPD1,shared
MCFD2,FECH,shared
ZNF493,FGF5,shared
SCML4,METTL8,shared
TCTN1,TCAF2,shared
ORC4,ATF1,shared
HS6ST3,DTNB,shared
TOR1AIP2,TCAF2,shared
ENTPD1,ACTR3C,shared
PARP15,ABCA9,shared
ELMOD2,CD70,shared
ZNF471,LOC100652901,shared
TCTN1,GLIPR1L2,shared
KCNN2,CES3,shared
UGT8,ODF2L,shared
ELMOD2,C12orf50,shared
PPM1K,IKZF3,shared
RAB3B,CCDC122,shared
ZNF140,ANKLE1,shared
MYORG,C5orf22,shared
SLC9A4,C12orf50,shared
EPB41,ACTR3C,shared
SHISA9,CCDC122,shared
ZNF283,CDC14B,shared
TESPA1,CASP10,shared
PUS7L,ODF2L,shared
ENOX1,CD70,shared
ENOX1,CPLANE1,shared
P4HA2,AK3,shared
ZNF37A,IKZF3,shared
XKR9,ODF2L,shared
USP6NL,LOC105374301,shared
ZNF519,TSKU,shared
SYN3,DNAL1,shared
TMEM56,CES3,shared
PLEKHA5,CFLAR,shared
SLC35F5,AP5Z1,shared
NEK11,ASTN2,iPRINT_C
TYW5,TRMT9B,shared
SPAG16,ENOX1,shared
NRG4,LPP,shared
XAF1,EIF4E,shared
SPAG16,ODF2L,shared
WDPCP,TMEM212,shared
GATAD1,CFLAR,shared
SLC22A25,GSTO2,shared
TMEM212,KLRD1,shared
TMEM241,PARP15,shared
SERPINB9,AK3,shared
SLCO1A2,CHRM3,shared
SHISA9,HS6ST3,shared
PUS7L,CTSC,shared
ZNF454,SLC43A2,shared
TUBD1,FMN1,shared
STX2,METTL8,iPRINT_B
ODF2L,DNAH12,shared
ZKSCAN8,MCFD2,shared
TDRKH,HYAL1,shared
USP33,LOC100652901,shared
ZNF426,EPB41,shared
TRMT2B,METTL8,iPRINT_B
TFDP2,PECAM1,iPRINT_B
PTPRJ,DTNB,shared
DDHD1,CRIPT,shared
KMT2E,CES3,shared
TMEM241,GLIPR1L2,shared
TCTN1,OPHN1,shared
HS6ST3,C12orf50,shared
LOC107987397,LOC105379417,shared
PTPRJ,FNIP2,shared
IQCH,AAGAB,shared
OPRM1,C1QTNF6,shared
UGT8,C12orf50,shared
TDRKH,MS4A4E,shared
CFLAR,ABCA9,shared
TANGO2,ADRA1A,iPRINT_B
SP100,PUS7L,shared
CTSC,ABCC9,iPRINT_A
PRKAR1A,LIMS1,iPRINT_B
USF3,MYORG,shared
GSG1,DTNB,shared
TMEM212,GLIPR1L2,shared
SHISA9,GLIPR1L2,shared
MAP3K7CL,CES3,shared
MS4A4E,MRGPRX3,shared
RIC3,CCDC144A,shared
STXBP5L,RDH16,shared
F5,CTSC,shared
TATDN3,SYNRG,shared
CCDC144A,ABCC9,shared
TSKU,ADAM20,shared
GBP5,AP5Z1,shared
PDE12,FNIP2,shared
SYN3,HHLA3,shared
TRMT2B,ADAT1,shared
TCTN1,FRK,shared
SCML4,ATF1,shared
EPPIN,ABCC9,shared
SLC37A2,CADM2,shared
PARP15,EPPIN,shared
COA1,CBFA2T2,iPRINT_B
TRMT2B,TMEM8B,iPRINT_A
GLIPR1L2,ABCA9,shared
ZFAT,STXBP5L,shared
EPB41,DCAF10,shared
RAB3IP,CHRM3,shared
ABCC9,ABCA9,shared
PKD1L1,BBS5,shared
UBE2E2,TOR1AIP2,shared
CD70,C12orf50,shared
NRG4,CCDC122,shared
SLCO1A2,PRKAR1A,shared
XKR9,FNIP2,shared
TRMT9B,CD70,shared
ZNF480,DDHD1,shared
OPRM1,ANKLE1,shared
TCTN1,GPR141,shared
IKZF3,DFFB,shared
ZNF254,SLC37A2,shared
TATDN3,COP1,shared
ZNF532,VPS53,shared
PLEKHB2,NRG1,iPRINT_B
ZNF329,TARDBP,shared
MSRB3,LPP,iPRINT_B
TOR1AIP2,TMEM212,shared
ORC4,HS6ST3,shared
SPC25,L2HGDH,shared
SLC9A4,ENOX1,shared
MAST2,GOSR1,shared
PARP15,AAK1,shared
DTNB,CCDC122,shared
P2RX7,FAM126B,iPRINT_C
SP100,CTSC,shared
ODF2L,GALNT18,shared
ZKSCAN3,OPHN1,shared
TMEM212,L2HGDH,shared
TCAF2,CFLAR,shared
LRMP,CASC1,shared
PDE12,ODF2L,shared
LRCH3,CFLAR,iPRINT_A
TCAF2,PARP15,shared
ZGRF1,ARHGAP26,shared
ODF2L,ACBD7,shared
XAF1,PARP15,shared
ORC4,CHURC1,shared
ODF2L,EIF4E,shared
XRCC2,XAF1,shared
DYNAP,CPN2,shared
DGKB,CEP57L1,iPRINT_B
USF3,ADAM20,shared
WDPCP,SHISA9,shared
CCDC122,ABCC9,shared
SLC9A4,L2HGDH,shared
SLC37A2,IL15,shared
NRG4,CARD8,iPRINT_B
ZKSCAN3,HS6ST3,shared
NFX1,CFLAR,shared
IL15,CES3,shared
P2RY10,KCNAB1,shared
MCFD2,ACTR3C,shared
TMEM212,SPC25,shared
GSG1,ABCC9,shared
TYW5,FNIP2,shared
TYW5,DTNB,shared
SLC43A2,GAS7,shared
LOC112267922,CES3,shared
RASSF8,ORC4,shared
TFDP2,CARD8,iPRINT_A
TANGO2,FAM126B,iPRINT_B
PCDH11Y,LPP,shared
KLHL33,DTNB,shared
TMEM212,LACC1,shared
NEK5,BBS5,shared
LINS1,F5,shared
ENTPD1,ATRNL1,shared
WDPCP,ABCA9,shared
MAB21L3,FAAH2,shared
