Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Spc24,Heatr6,1,1,0,1,AD_specific
Osbpl10,Dnajc9,0,1,0,1,AD_specific
Zyg11b,Comt,1,1,1,0,WT_specific
N4bp1,Glrx2,1,1,4,0,WT_specific
Pde4b,Nars2,1,1,9,0,WT_specific
Ldha,Epha5,1,1,0,12,AD_specific
Zfp459,Gm10408,1,1,3,0,WT_specific
Git2,Fnip2,1,1,1,34,Shared
Iars2,Hexdc,1,1,50,32,Shared
Negr1,Arhgef9,1,0,1,0,WT_specific
Mre11a,Gm5785,1,1,1,0,WT_specific
Pygo1,Erbb4,1,1,1,0,WT_specific
Slc36a4,Fbxl21,1,0,1,0,WT_specific
Wnt3a,Nras,1,0,1,0,WT_specific
Utp11,Ermard,1,1,1,0,WT_specific
Smpd3,Ednrb,1,1,1,0,WT_specific
Mau2,Fgf10,1,1,6,0,WT_specific
Nvl,Ccdc15,1,1,142,0,WT_specific
Utp23,Txnl4a,1,1,9,0,WT_specific
Sema6d,Hip1,1,1,0,1,AD_specific
Srpk2,Rhbdd2,1,1,2,2,Shared
Hus1,Fbxo34,1,1,1,0,WT_specific
Mrpl4,Il12rb1,1,1,0,1,AD_specific
Prlhr,Ppcdc,1,1,0,1,AD_specific
Tanc2,Tafa2,1,1,0,28,AD_specific
Rufy3,Pde4c,1,1,2,0,WT_specific
Gm14296,Egflam,1,1,0,4,AD_specific
Hmgcll1,Gpr174,1,1,1,0,WT_specific
Kirrel3,Kcnq5,1,1,3,13,Shared
Ptpn12,Dtx3l,1,1,0,1,AD_specific
Pcmt1,Chka,1,1,1,0,WT_specific
Slc8b1,Celf1,1,1,2,0,WT_specific
Trmt61a,Lzic,1,1,0,2,AD_specific
Nckap5,Ckap5,1,1,0,2,AD_specific
Wasf3,Iars2,1,1,1,2,Shared
Zfp939,Negr1,1,1,2,0,WT_specific
Stau2,Marchf1,1,1,111,151,Shared
Tmem91,Fnip2,1,1,1,0,WT_specific
Slfn5,Pabpc4,1,1,1,0,WT_specific
Rab11fip4,Mre11a,1,1,1,0,WT_specific
Ifnar1,Azin1,1,1,1,0,WT_specific
Nkain3,Kirrel,1,1,3,0,WT_specific
Lrrc34,F830016B08Rik,1,1,1,0,WT_specific
Slc32a1,Def8,1,1,2,0,WT_specific
