Gene1,Gene2,In_OWT,In_AD,read count_WT,read count_AD,Label
Nars2,Drosha,1,1,0,2,AD_specific
Zfp14,Spopl,1,1,1,0,WT_specific
Kazn,Best3,1,1,1,0,WT_specific
Kcnq5,Cpsf2,1,1,0,1,AD_specific
Gm3239,Gm3095,1,1,0,1,AD_specific
G3bp1,Bicral,1,0,2,0,WT_specific
Pld5,Cd300ld,1,0,2,0,WT_specific
Echdc1,Ankrd10,1,1,1,1,Shared
Spock2,Jakmip2,1,1,3,0,WT_specific
Tmem39b,Tango6,0,1,0,1,AD_specific
Tenm3,Stxbp4,1,1,30,0,WT_specific
Kcnd2,Ctla2a,1,1,0,5,AD_specific
Vmn2r48,LOC118568219,0,1,0,2,AD_specific
Sfxn4,Pfkfb3,1,1,1,0,WT_specific
Nos1,Il12rb2,1,1,1,3,Shared
Rbm12b2,Pwwp2a,1,1,0,2,AD_specific
Zfp971,Gm14421,1,1,0,1,AD_specific
Lrrc69,Gm9222,1,1,1,0,WT_specific
Negr1,Hexdc,1,1,6,0,WT_specific
Nfyc,Hyal1,1,1,1,0,WT_specific
Vmn2r46,Vmn2r30,1,0,9,0,WT_specific
Ranbp17,Gm28455,1,1,1,0,WT_specific
Ehbp1l1,1700014D04Rik,0,1,0,1,AD_specific
Cul7,Cdc42bpb,0,1,0,1,AD_specific
Npr3,Nkx2-1,1,1,19,50,Shared
Hdx,Ap4s1,1,1,0,1,AD_specific
Ptchd4,Gpr157,1,1,3,0,WT_specific
Ubxn8,Syk,1,1,0,1,AD_specific
Gm5785,Cwc25,1,1,0,1,AD_specific
Stx1b,Srrm3,1,1,2,0,WT_specific
Pot1b,Gm3500,1,1,0,15,AD_specific
Zc3h12b,Ppfibp2,1,1,0,1,AD_specific
Vti1a,Tns3,1,0,1,0,WT_specific
Gm14393,Gm14326,1,1,3,5,Shared
Otud7b,Glt8d1,1,1,1,0,WT_specific
Frem2,Akap9,1,1,4,12,Shared
Tmem45b,Adgre1,0,1,0,1,AD_specific
Usp25,Me3,1,1,0,4,AD_specific
Rsrc1,F830016B08Rik,1,1,2545,3082,Shared
Gm3488,Gm3476,1,1,2,0,WT_specific
Utp11,Snupn,1,1,0,1,AD_specific
Tfeb,Sirt4,1,1,1,0,WT_specific
Gnb1l,Efcab5,1,1,1,0,WT_specific
Olfr491,Olfr482,1,0,1,0,WT_specific
Rgs20,Fnbp1,1,0,1,0,WT_specific
Zfp369,Galc,1,1,13,0,WT_specific
Pard3b,Lzic,1,1,1,0,WT_specific
Neto1,Hspb11,1,1,0,6,AD_specific
Ripply3,Ppwd1,1,1,0,1,AD_specific
Xrn1,Sox6,1,1,1,0,WT_specific
Lrrc4c,Fgf10,1,1,2,1,Shared
LOC118568783,LOC118568301,1,1,61,51,Shared
Zbtb21,Dcun1d5,1,1,4,0,WT_specific
Tmem45b,Ifi208,1,1,0,1,AD_specific
Tnfrsf11a,Grik2,1,1,0,1,AD_specific
Tenm3,Dennd1a,1,0,2,0,WT_specific
Efnb2,Ap5z1,1,0,1,0,WT_specific
Polr3h,Npas3,1,1,0,1,AD_specific
Pi15,Ikzf4,1,1,1,0,WT_specific
LOC118568593,Arhgef37,1,1,28,0,WT_specific
St8sia3,Ahdc1,1,1,0,5,AD_specific
Zeb1,Arhgap15,1,1,7,0,WT_specific
Pcsk5,Ank2,1,1,0,1,AD_specific
Morn1,Gm52229,1,1,2,0,WT_specific
Hdac9,Ceacam20,1,1,2,0,WT_specific
Nacc2,Mxra7,1,1,4,0,WT_specific
Prdm9,4833439L19Rik,1,1,1,0,WT_specific
N4bp2,Ctbp2,1,1,4,0,WT_specific
Pex12,Denn2b,1,1,0,1,AD_specific
Xiap,Nmrk1,1,1,1,0,WT_specific
LOC115489417,Fut8,1,1,330,432,Shared
Dnmbp,Ankrd55,1,1,1,12,Shared
Syt11,Mgat3,1,1,125,1,Shared
Dmtn,D17H6S53E,1,1,0,1,AD_specific
Grip1,Acot2,1,0,1,0,WT_specific
Zfp995,Kif26b,1,1,2,0,WT_specific
Plekhb2,Ckap5,1,1,0,1,AD_specific
Prkag3,Ldlrad4,1,1,10,0,WT_specific
Zdhhc2,Ccdc82,1,1,1,0,WT_specific
Zfp277,Dixdc1,1,1,12,16,Shared
Nav2,Fbxw22,1,1,0,2,AD_specific
Wars2,Ranbp17,1,1,1,0,WT_specific
Kctd16,Dvl3,1,1,4,0,WT_specific
Ttc38,Pigr,1,1,0,11,AD_specific
Kirrel,Dip2b,1,1,1,0,WT_specific
Ccnl2,Baalc,1,1,1,0,WT_specific
Ttf1,Marchf5,1,1,0,12,AD_specific
Kcnc1,Gm3629,1,1,1,0,WT_specific
Srek1,Pcdh9,1,1,1,0,WT_specific
Zfp488,LOC115489981,1,1,205,320,Shared
Zfp937,Zfp53,1,1,0,12,AD_specific
Vmn1r163,Vmn1r111,1,0,1,0,WT_specific
Gm3696,Gm3558,1,1,0,3,AD_specific
Zc3hav1l,Malt1,1,1,0,1,AD_specific
Vps35l,Atxn1,1,0,1,0,WT_specific
Tyms,Pon3,1,1,0,21,AD_specific
Gm14391,Gm14326,1,1,1,5,Shared
Klhl33,Fam76b,1,1,0,1,AD_specific
Slc3a2,Fam76b,1,1,1,0,WT_specific
Them6,Chchd3,1,1,1,2,Shared
Decr2,3300002I08Rik,1,1,3,0,WT_specific
Prrx1,Adam11,1,0,2,0,WT_specific
Rims4,Akap7,1,1,1,0,WT_specific
Slc9b2,Dixdc1,1,1,0,5,AD_specific
Slc37a3,Cert1,1,1,0,1,AD_specific
Gm8108,Gm3500,1,1,0,49,AD_specific
Gm3476,Gm10408,1,1,0,1,AD_specific
Wdr86,Dnajb14,0,1,0,1,AD_specific
Stpg1,Marchf5,0,1,0,1,AD_specific
Unc13b,Ppm1h,1,1,10,3,Shared
Nfatc2,Dcaf17,1,1,0,1,AD_specific
Thra,Knstrn,1,1,0,1,AD_specific
Lnx1,Fnip2,1,1,35,33,Shared
Ppp2r2b,Mef2c,1,1,21,11,Shared
Hoxc9,Atrn,1,1,1,1,Shared
Mpv17l,LOC118568311,1,1,0,8,AD_specific
Nipal3,Gm46650,1,1,2,1,Shared
Zfp148,Hs2st1,1,1,0,1,AD_specific
Zfp503,Mapkapk5,1,0,1,0,WT_specific
Pi15,Pcdhb5,1,1,0,2,AD_specific
Zfp950,Ak4,1,1,12,7,Shared
Coro6,Cntnap5c,1,0,1,0,WT_specific
Stard3nl,Hoxc9,1,1,0,2,AD_specific
Gm4922,2610524H06Rik,1,1,0,1,AD_specific
Nhsl2,Gtpbp3,1,1,6,0,WT_specific
Syt14,Ccdc85a,1,1,0,2,AD_specific
Hcfc2,Cfap74,1,0,1,0,WT_specific
Zfp583,Homez,1,1,0,3,AD_specific
Sv2c,Jmjd1c,1,1,0,1,AD_specific
Tnfsf10,AU022252,1,1,1,1,Shared
Gmfb,Csf2rb2,1,1,4,5,Shared
Nr1h2,Hip1,1,1,1,0,WT_specific
Itga4,Aim2,1,1,0,8,AD_specific
Negr1,Lrrc61,1,1,1,0,WT_specific
Ttc4,Mgat3,1,1,4,1,Shared
Swt1,Phka2,1,0,1,0,WT_specific
Kcng3,Ecpas,1,1,0,1,AD_specific
Proca1,Ap4s1,1,1,0,1,AD_specific
Kcnab2,Ccdc144b,1,1,1,0,WT_specific
Zfp939,Nfat5,1,1,1,0,WT_specific
Ints7,Ctcfl,1,1,0,1,AD_specific
Riok2,Prdm2,1,1,0,1,AD_specific
Gm4841,Alx4,1,1,2,0,WT_specific
Pex5l,Gpt2,1,1,0,1,AD_specific
Zfp12,Trdmt1,1,1,1,0,WT_specific
Usp4,Tacc1,0,1,0,1,AD_specific
Slc35e2,Rapgef2,1,1,0,2,AD_specific
Slc41a3,Dhfr,1,0,1,0,WT_specific
Mga,Ikbip,1,1,1,0,WT_specific
Ccr6,C7,1,0,1,0,WT_specific
Nlrp1b,Hlcs,1,1,1,0,WT_specific
Snapc3,Potegl,1,1,0,3,AD_specific
Hs3st2,Grm1,1,1,0,11,AD_specific
Gm3476,Gm3159,1,1,1,0,WT_specific
Srrm3,Dock7,1,1,1,0,WT_specific
LOC115488470,H2-DMa,1,1,0,1,AD_specific
Mrpl19,Gabra6,1,1,0,8,AD_specific
Ppfibp2,Mfsd4a,1,1,0,1,AD_specific
Trim27,Larp4b,1,1,0,1,AD_specific
Plppr4,N4bp1,1,1,0,1,AD_specific
Lrrc7,Gm38523,1,1,1,1,Shared
Nktr,Etfbkmt,1,1,1,0,WT_specific
Phex,Ctla2a,1,1,0,2,AD_specific
Uqcc1,Ppm1h,1,1,1,0,WT_specific
Arhgef37,Ahdc1,1,1,3,0,WT_specific
Phka2,Ckap5,1,1,15,0,WT_specific
Xiap,Chek2,1,1,1,0,WT_specific
Mylk4,Grik2,1,1,0,1,AD_specific
Zfp780b,L3mbtl1,1,1,2,0,WT_specific
Zfp397,Gm52217,1,1,1,0,WT_specific
Tbl1xr1,Gm5785,1,1,1,0,WT_specific
Synrg,Chka,1,1,1,0,WT_specific
Zscan20,Tpmt,1,1,1,0,WT_specific
Ptov1,Gm16867,1,1,0,1,AD_specific
LOC118567439,Atf7ip,1,1,0,3,AD_specific
Gtpbp3,Chek2,1,1,1,0,WT_specific
Ppm1k,2210408I21Rik,1,1,0,2,AD_specific
Tlr7,Chadl,1,1,7,0,WT_specific
Ddo,Cracr2a,1,1,24,0,WT_specific
Rasgrp2,Abcd4,1,1,1,0,WT_specific
Plp1,Gm13043,0,1,0,2,AD_specific
Tmem19,Baz2b,1,1,1,0,WT_specific
Slc10a7,Cyp4x1,1,1,12,13,Shared
Rgs7bp,Elob,1,1,13,0,WT_specific
Prlr,D6Ertd527e,1,1,1,0,WT_specific
Zfp248,Ryr2,1,1,3,0,WT_specific
Mindy2,4931406B18Rik,1,1,0,2,AD_specific
Wdr31,Il1f9,1,1,11,21,Shared
Pyroxd1,3300002I08Rik,1,1,0,12,AD_specific
Nup50,Nktr,1,1,0,1,AD_specific
Slc43a2,Gm2115,1,1,2,0,WT_specific
Usp3,Bdp1,1,1,2,0,WT_specific
Unc13b,Kcnma1,1,0,2,0,WT_specific
Zfp853,Slc41a3,1,0,10,0,WT_specific
Pmvk,Kalrn,1,1,6,0,WT_specific
Mdc1,2610044O15Rik8,0,1,0,1,AD_specific
Nvl,Ak4,1,1,29,67,Shared
Gm35315,Cers4,1,1,0,1,AD_specific
Xkr6,Lonrf1,1,0,1,0,WT_specific
Syn3,Galk2,1,0,1,0,WT_specific
Sp110,Gm5977,1,1,1,0,WT_specific
Smco1,Gpn1,1,1,0,1,AD_specific
Wdcp,Mrpl35,1,1,0,4,AD_specific
Gabra6,Emsy,1,1,61,0,WT_specific
Phka2,Cdh19,1,1,0,96,AD_specific
Itga4,Cert1,1,1,8,5,Shared
Trim12c,Stx11,1,1,0,1,AD_specific
Tnfrsf10b,Cyb5d2,1,1,1,0,WT_specific
Zfp617,LOC118568662,1,1,9,0,WT_specific
Frem2,Bcl2l15,1,1,0,1,AD_specific
Kirrel3,Ctsc,1,1,1,1,Shared
Tcp11l1,Gm13547,1,1,2,0,WT_specific
Kars,Gm31606,1,1,6,0,WT_specific
Lhx5,Gxylt2,1,1,1,1,Shared
Lpin2,Cep170,1,1,0,4,AD_specific
Slc8b1,Osbpl8,1,1,1,0,WT_specific
Tyms,Nipal2,1,1,0,16,AD_specific
Hells,Dhx37,1,1,0,1,AD_specific
Tyms,Hmgb1,1,1,5,0,WT_specific
Fnip2,D17H6S53E,1,1,0,1,AD_specific
Ino80,Cp,1,1,1,0,WT_specific
Lrrc69,Gpr161,1,0,1,0,WT_specific
Zfp950,Adat1,1,1,2,2,Shared
Tnks2,Def8,1,1,3,4,Shared
Kcnj10,Gpr174,1,1,2,1,Shared
Fam76b,Bicral,1,1,0,6,AD_specific
Slc12a8,Abca6,1,1,0,1,AD_specific
Gm17330,9030624G23Rik,1,1,5,5,Shared
Otud7b,1810020O05Rik,1,1,1,1,Shared
Pibf1,Aldh1l2,1,1,1,0,WT_specific
Slc16a8,Hid1,1,1,1,0,WT_specific
Uqcr11,Pde10a,1,0,3,0,WT_specific
Zic1,Tnfrsf11a,1,1,1,0,WT_specific
Frmd3,Alx4,1,1,0,2,AD_specific
Vax2,Grip1,1,1,2,0,WT_specific
Rimbp2,Ipcef1,1,1,1,0,WT_specific
Uqcc1,Cdk9,1,1,1,0,WT_specific
Zfp467,Ctcf,1,0,1,0,WT_specific
Zeb1,Impg2,1,1,95,119,Shared
Gm20767,Gfod2,1,1,0,1,AD_specific
Gpr35,Gm8290,1,1,10,2,Shared
Zbtb20,Mthfsd,1,1,1,0,WT_specific
Ermard,Ccser1,1,1,0,1,AD_specific
Neto1,Gsdmc3,1,0,1,0,WT_specific
Maco1,Celf2,1,1,1,0,WT_specific
Usp3,Lrrtm4,1,1,3,0,WT_specific
Tprgl,Ptpn12,1,1,0,2,AD_specific
Tshz2,Gm17149,1,1,7,0,WT_specific
Miga1,Ap1s3,1,1,0,1,AD_specific
Zfp706,LOC118568345,1,1,1,0,WT_specific
Vmn1r247,Vmn1r132,1,1,9,2,Shared
Tbxas1,Nav2,1,1,1,0,WT_specific
Rad51b,Anxa9,1,1,51,0,WT_specific
Miga1,Dnm3,1,1,8,0,WT_specific
Gpr180,Enah,1,1,0,1,AD_specific
Grip1,Gria1,1,1,1,0,WT_specific
Tenm3,Mrpl51,1,1,1,0,WT_specific
Plppr4,Kcnip4,1,1,0,2,AD_specific
Clca3a1,Ckap5,1,1,1,0,WT_specific
Zfp202,Trim9,1,1,79,95,Shared
Srgap3,Cask,1,0,1,0,WT_specific
Smg6,Foxj3,1,1,0,1,AD_specific
Asxl2,Acap2,1,1,1,0,WT_specific
Kcnh7,Flt1,1,0,1,0,WT_specific
Zfp202,Gm17768,1,1,106,96,Shared
Wdr20,Arhgap26,1,1,0,10,AD_specific
Kirrel,Cep170,1,1,62,59,Shared
N4bp2,Gm10662,1,1,0,6,AD_specific
Otud7a,Fgf8,1,0,1,0,WT_specific
Ccdc167,5730455P16Rik,1,1,0,1,AD_specific
Spopl,Acnat2,1,1,35,45,Shared
Rpn2,Atpsckmt,1,1,0,1,AD_specific
Nckap5,Hps1,1,1,2,2,Shared
Cdkl2,B4galnt2,1,1,0,1,AD_specific
Smg9,Cdkl2,1,1,1,0,WT_specific
Syne1,Dhcr24,1,1,0,2,AD_specific
Hells,Fars2,1,1,0,1,AD_specific
Mfsd4a,Ddx21,1,0,1,0,WT_specific
Slc25a46,Npas3,1,1,69,11,Shared
Trpm7,Chd9,1,1,3,0,WT_specific
Gm52310,Evc,1,1,1,0,WT_specific
Ncor2,Haus8,1,1,3,0,WT_specific
Zscan2,Mau2,1,1,2,0,WT_specific
Nrp2,Mapkbp1,1,1,1,3,Shared
Otp,Gm31606,1,0,1,0,WT_specific
Zc3h12b,Abcb8,1,1,1,3,Shared
Unc45b,F830016B08Rik,1,1,12,1,Shared
Zfp780b,Rad51d,1,1,0,1,AD_specific
Mrpl4,Gria3,1,1,1,0,WT_specific
Ryr2,Prdm2,1,1,2,5,Shared
Nfix,Fgf10,1,1,0,1,AD_specific
Ubac1,Tbxas1,1,1,0,1,AD_specific
Gm14295,Cyp4x1,1,1,1,0,WT_specific
Chka,Ankle1,1,1,0,2,AD_specific
Gpr26,Ctdspl,1,1,1,0,WT_specific
Slc43a2,Dkk1,1,1,0,2,AD_specific
Fam81a,Alox8,1,1,1,0,WT_specific
Mcmdc2,Htr1d,1,1,1,5,Shared
Snupn,Nfkb2,1,1,3,3,Shared
Mfsd4a,Lrrc7,1,1,12,0,WT_specific
Focad,Ddo,1,1,0,8,AD_specific
Uevld,Trat1,1,1,6,7,Shared
Nav3,3300002I08Rik,1,1,8,0,WT_specific
Vmn2r32,Vmn2r30,1,1,0,2,AD_specific
LOC118567871,Arih2,1,1,10,7,Shared
Gm17768,Ears2,1,1,0,7,AD_specific
Myo7a,Gm4841,1,1,0,3,AD_specific
Tenm2,Kcnj10,1,1,0,2,AD_specific
Hgh1,Cluap1,1,1,0,1,AD_specific
Nup50,Map3k3,1,1,1,1,Shared
Trappc9,C4b,1,1,0,1,AD_specific
Slc3a2,Lrrtm1,1,1,0,1,AD_specific
Katnal2,Chst3,1,1,3,0,WT_specific
Ifi208,Alkbh8,1,1,1,0,WT_specific
Suds3,Pde7b,1,1,1,0,WT_specific
Zfp937,N4bp2,1,1,36,36,Shared
Zfp932,Pik3r1,1,1,3,0,WT_specific
Nipal2,Cpox,1,1,2,0,WT_specific
Mterf3,Mprip,1,1,1,0,WT_specific
Zfp248,Dhrs3,1,1,0,1,AD_specific
Unc13b,Gpr35,1,1,0,2,AD_specific
Zfp810,Fxn,0,1,0,1,AD_specific
Oas3,Best3,1,1,1,0,WT_specific
Xpnpep3,Tmem19,1,0,1,0,WT_specific
Tyms,Rad1,1,1,0,15,AD_specific
Trmt13,Mpv17l,1,1,0,3,AD_specific
Itga2b,Dnaaf4,0,1,0,1,AD_specific
Ttc28,Hivep2,1,1,1,0,WT_specific
Slc22a13,Pdpk1,1,0,1,0,WT_specific
Ppp1r9a,3830406C13Rik,1,1,7,0,WT_specific
Zfp462,Vipr2,1,1,1,0,WT_specific
Zkscan2,Tab2,1,1,0,18,AD_specific
Zfp563,Egfem1,1,1,0,6,AD_specific
Map3k3,Anxa9,1,1,0,2,AD_specific
Slc35g1,N6amt1,1,1,2,0,WT_specific
Vmn2r31,Vmn2r28,0,1,0,4,AD_specific
Tent5c,Morn1,1,1,2,1,Shared
Phf24,Gm31606,1,1,17,0,WT_specific
Trim12c,Astn2,1,1,1,1,Shared
Pgr,Nos1,1,1,1,0,WT_specific
Megf11,Flrt1,1,0,1,0,WT_specific
Kdelr2,Actn2,1,0,1,0,WT_specific
Thumpd2,Cdc123,1,1,1,2,Shared
Frem2,Clec16a,1,1,22,34,Shared
Nktr,Acad9,1,1,7,0,WT_specific
Timm17b,Prpf39,1,1,0,1,AD_specific
Morn1,Ankle1,1,1,1,0,WT_specific
Ubxn2a,Gm8279,1,1,0,1,AD_specific
Zfp799,Slc17a8,1,1,1,0,WT_specific
Thra,Spire1,1,1,0,2,AD_specific
Gm31606,Eif2ak2,1,1,22,14,Shared
Tubg1,Triobp,1,1,4,0,WT_specific
Scarf2,Gpatch2,1,1,1,0,WT_specific
Vmn2r84,LOC118568715,1,1,2,0,WT_specific
Nmrk2,Grm1,1,1,0,1,AD_specific
Zfp369,Gm14295,1,1,0,97,AD_specific
Kcng3,Gm40353,1,1,0,1,AD_specific
Vipr2,Uncx,1,1,1,0,WT_specific
Mef2c,Kcnh7,1,1,44,34,Shared
Slc38a11,Aqp7,1,1,1,0,WT_specific
Zscan2,Spred2,1,1,0,4,AD_specific
Trip4,Ankrd55,1,1,1,0,WT_specific
Txnl4a,Apobec3,1,1,0,1,AD_specific
Zc3hav1,Slc16a14,1,1,0,1,AD_specific
Zfp202,Hdac4,1,1,5,12,Shared
Kcnk6,Gm5459,1,1,0,1,AD_specific
Mrpl4,Ankrd44,1,1,1,0,WT_specific
Neto1,Gramd1b,1,1,100,135,Shared
Gm8290,Dynlt1a,1,1,0,4,AD_specific
Ppargc1a,Htr1b,1,1,0,1,AD_specific
Zfp11,Dtwd2,1,1,1,0,WT_specific
Nfkbib,Lcmt2,0,1,0,1,AD_specific
Zfp771,Pla2g4e,1,1,5,0,WT_specific
Tbc1d30,Lpp,1,1,2,0,WT_specific
St8sia1,Lpp,1,1,3,0,WT_specific
Otud7a,Myl4,1,1,1,0,WT_specific
Fam83b,Dyrk1b,1,1,2,3,Shared
Ldhd,Gm14391,1,1,1,0,WT_specific
Zswim2,Ppp4r1,0,1,0,4,AD_specific
Sec31a,Bicral,1,1,5,0,WT_specific
Rragd,Rasal2,1,1,1,0,WT_specific
Zic4,Dyrk1b,1,1,3,2,Shared
Tent5c,Gabrg1,1,1,0,2,AD_specific
Ctdsp2,Avil,1,1,14,2,Shared
Eif2ak2,Cldn34c2,1,1,1,0,WT_specific
Rad51c,Diaph3,1,1,1,0,WT_specific
Tlr5,Gmeb1,1,0,1,0,WT_specific
Nptxr,Grik2,1,0,1,0,WT_specific
Dnajc21,Ap4s1,1,1,1,0,WT_specific
Lin28b,Gabra6,1,1,0,4,AD_specific
Pkd1l3,Lrrc4c,1,1,1,0,WT_specific
Zic4,Hivep2,1,1,1,0,WT_specific
St8sia1,Acad9,1,1,54,46,Shared
Stau2,Kirrel,1,1,4,0,WT_specific
Slc12a9,Bdp1,1,1,1,0,WT_specific
Gm5934,Gm10058,1,1,2,3,Shared
Negr1,Ankrd33b,1,1,1,0,WT_specific
Ttc38,Slit1,1,0,2,0,WT_specific
Zfp62,Csmd1,1,0,1,0,WT_specific
H2-T23,Eapp,1,1,0,1,AD_specific
Tmem45b,Abca8b,1,1,0,8,AD_specific
Dyrk1b,Dynlt1a,1,1,1,14,Shared
Tyr,Dmtf1,1,1,11,4,Shared
Zfp521,App,1,1,0,1,AD_specific
Zfp462,Npy1r,1,1,1,0,WT_specific
Psma3,Kcnip4,1,1,2,0,WT_specific
Slc16a14,Rhno1,1,1,1,0,WT_specific
Prxl2c,Nup50,1,1,0,1,AD_specific
Gm2977,Gm17124,1,1,29,1,Shared
Uhrf1bp1l,Gxylt2,1,1,0,2,AD_specific
Tnfrsf14,F830016B08Rik,1,1,186,213,Shared
Syne1,Senp7,1,1,187,121,Shared
Zswim5,Slc4a1ap,1,1,4,0,WT_specific
Thsd1,Chd9,1,1,43,31,Shared
Rpl7a,Gm5459,1,1,0,2,AD_specific
Mertk,Inpp4b,1,1,0,2,AD_specific
Pigr,Atad2b,1,1,0,1,AD_specific
Mrpl11,Gm17768,1,1,1,0,WT_specific
Serpina3f,Serpina3b,0,1,0,8,AD_specific
Pon3,D3Ertd751e,1,1,0,5,AD_specific
Tnrc6b,Erbb4,1,1,0,1,AD_specific
Gm36722,Eef2k,1,1,1,0,WT_specific
Tfeb,Ankrd55,1,1,1,0,WT_specific
LOC118568335,Gm21103,1,1,3,15,Shared
Aig1,Acap2,1,1,1,0,WT_specific
Ermard,Azin1,1,1,1,0,WT_specific
Kcnh7,Ccdc15,1,1,106,130,Shared
Rdh13,Myoz3,1,1,0,2,AD_specific
Snapc3,Ccdc144b,1,1,0,5,AD_specific
Usp3,AU022252,1,1,0,4,AD_specific
Zfyve9,Arid3b,0,1,0,1,AD_specific
Ostf1,Golga3,0,1,0,2,AD_specific
Smn1,Pole4,1,1,0,5,AD_specific
Idnk,Clec16a,1,1,0,4,AD_specific
Usp4,4932411N23Rik,1,1,0,4,AD_specific
Trim27,Spred2,1,1,0,1,AD_specific
Usp3,Ap4s1,1,1,0,3,AD_specific
Tbc1d4,Azin1,1,1,2,0,WT_specific
Tmem106c,Chrnb3,1,1,0,3,AD_specific
Zfp488,Tyms,1,1,482,831,Shared
Hoxc9,Cyyr1,1,1,0,1,AD_specific
Olfr1166,A930009A15Rik,1,0,2,0,WT_specific
Nat8f6,Abhd6,1,1,1,0,WT_specific
Pou2f2,Akap9,1,1,1,0,WT_specific
Tmem63c,Tmco1,1,1,2,3,Shared
Gcdh,Ermard,1,1,4,0,WT_specific
Vmn1r171,Cmah,0,1,0,1,AD_specific
Katnal2,4931428F04Rik,1,1,5,0,WT_specific
Pate13,Klhl15,1,0,1,0,WT_specific
Syt14,Atm,1,1,1,0,WT_specific
Nsun6,Ate1,1,1,7,0,WT_specific
Zbtb1,Gal3st3,1,1,1,0,WT_specific
Sox6,Hspb11,1,1,2,2,Shared
Prelid1,Dgkd,0,1,0,10,AD_specific
LOC118567557,Gm39701,1,1,1,2,Shared
Zfp790,4932414N04Rik,1,1,1,0,WT_specific
Fbxl18,9330159F19Rik,1,1,1,0,WT_specific
Ppp4r1,Gmeb2,1,1,1,0,WT_specific
Hs3st2,Camkmt,1,1,0,1,AD_specific
Bpnt1,Anxa9,1,1,1,2,Shared
Hdac8,Ank2,1,1,7,0,WT_specific
Slc38a11,Ankle1,1,1,0,2,AD_specific
Mecom,Dkk1,1,0,1,0,WT_specific
Wdr12,Mlph,1,1,6,1,Shared
Khdrbs2,C1qtnf4,1,1,0,1,AD_specific
Runx3,Maml2,1,1,1,6,Shared
Slc32a1,Neto1,1,1,1,2,Shared
Mvb12b,Msto1,1,1,0,1,AD_specific
Gnb1l,Ermard,1,1,0,1,AD_specific
Slc2a12,Rpn2,1,1,1,0,WT_specific
Slfn5,Gmfb,1,1,11,0,WT_specific
Mga,Haus2,1,1,1,0,WT_specific
Zfp839,Fxn,1,1,1,1,Shared
Tnfrsf14,1810037I17Rik,0,1,0,1,AD_specific
Slc22a15,Gusb,1,1,0,1,AD_specific
Stx18,Six2,1,1,1,0,WT_specific
Sfxn5,Astn1,1,0,1,0,WT_specific
Maoa,Dlgap1,1,1,2,0,WT_specific
Plscr3,D6Ertd527e,1,1,4,0,WT_specific
Ttc28,Gm52229,1,1,3,0,WT_specific
Tcp11l1,Ppp1r9a,1,1,5,0,WT_specific
Gm4724,Cyp2j13,1,1,33,14,Shared
Chd9,Ankdd1a,1,1,9,0,WT_specific
Duxbl1,Ctbp2,1,1,1,0,WT_specific
Stxbp2,Slc25a40,1,1,8,0,WT_specific
Gm17149,Acbd6,1,1,0,1,AD_specific
Rhox8,Btbd9,1,1,16,0,WT_specific
Shprh,Mylk4,1,1,1,0,WT_specific
Thra,LOC115488470,1,1,0,2,AD_specific
Gm12854,Cyld,1,1,1,0,WT_specific
Gm5954,Bglap3,1,1,44,18,Shared
Zfp939,Gm4841,1,1,3,5,Shared
Tmem30c,Oprm1,0,1,0,1,AD_specific
N4bp2,Dedd,1,1,1,0,WT_specific
Tmco1,Ctif,1,1,0,4,AD_specific
Hsd3b3,Ankrd33b,1,1,0,4,AD_specific
Dcaf10,Cdkl2,1,1,0,1,AD_specific
Htr4,Atrn,1,1,0,1,AD_specific
Syk,Hspb2,1,0,1,0,WT_specific
Dido1,Brdt,1,1,1,0,WT_specific
Obi1,Fgf5,1,1,2,0,WT_specific
Stx4a,Arhgap21,1,1,1,0,WT_specific
Il17ra,Arl15,1,1,0,1,AD_specific
Kcnq5,Gpatch2,1,1,0,6,AD_specific
Ldlrad1,Galc,1,1,1,0,WT_specific
Zbtb37,Usp3,1,1,0,1,AD_specific
Zfp277,Kcnv1,1,1,0,1,AD_specific
Usp3,Ttc26,1,1,0,1,AD_specific
Smtnl2,Bri3bp,1,1,1,0,WT_specific
Hsph1,Cplx2,1,1,0,1,AD_specific
Cyp4a31,Cyp4a10,0,1,0,2,AD_specific
Gramd1b,E2f3,1,1,0,43,AD_specific
Wnt4,Mrpl27,1,1,5,0,WT_specific
Gm15501,Erlec1,0,1,0,15,AD_specific
Thsd1,Rbfox1,1,1,1,0,WT_specific
Zfp65,Tenm3,1,1,30,0,WT_specific
Pde4d,Nyap2,1,1,1,0,WT_specific
Cd8b1,Btbd19,1,1,1,0,WT_specific
Ube2v2,Kcnmb2,1,1,1,0,WT_specific
Wipf2,Mucl3,1,1,1,0,WT_specific
Tgfbr1,Ptgfrn,1,1,0,3,AD_specific
Mest,Kcnd2,1,1,0,17,AD_specific
Khdrbs2,Fbxo32,1,1,0,1,AD_specific
Inpp1,Gm10668,1,1,0,1,AD_specific
Dynlt1a,Chit1,0,1,0,1,AD_specific
LOC115489417,Emp2,1,1,9,0,WT_specific
Rapgef2,Cdc123,1,1,1,0,WT_specific
Nfyc,Gm4841,1,1,1,0,WT_specific
H2-Q4,Gramd1b,1,1,24,39,Shared
Lrrc7,Gabra2,1,1,53,50,Shared
Wdr37,Gfod2,1,1,1,0,WT_specific
Zfp458,Neurl3,1,1,0,1,AD_specific
Marchf1,Hdac8,1,1,68,75,Shared
Hip1,Ap5z1,1,1,9,0,WT_specific
